fecha,tasa,ipc,infla,einfla,pbi,vpbi,epbi
sep-14,3.5,80.62377472,2.738262158,2.75,147.2726851,2.673372782,4.7625
oct-14,3.5,80.92922461,3.088040469,2.7,150.7690914,2.273799581,4.416666667
nov-14,3.5,80.80826727,3.15910225,2.725,147.5383061,0.157934242,4.591666667
dic-14,3.5,80.99323058,3.224061189,2.6,159.9355816,0.794859633,4.5
ene-15,3.25,81.13115856,3.073263269,2.504166667,138.2808614,1.561363589,4.083333333
feb-15,3.25,81.37736642,2.768585171,2.5,137.5723438,1.233881261,4.075
mar-15,3.25,81.99962995,3.020199288,2.7125,148.4419078,2.936654749,3.825
abr-15,3.25,82.31984383,3.017412679,2.833333333,152.1324478,4.197948185,3.4
may-15,3.25,82.78442857,3.366201869,2.816666667,150.2115901,1.283097816,3.5
jun-15,3.25,83.05955546,3.544910297,2.9,150.6103272,4.085288973,3.65
jul-15,3.25,83.43397663,3.56292548,3.033333333,153.2715739,3.602607649,3.5625
ago-15,3.25,83.74871138,4.042672842,3.133333333,149.4774837,2.669235472,3.433333333
sep-15,3.5,83.77177425,3.904554883,3.35,151.9675533,3.187874357,3.2125
oct-15,3.5,83.89139983,3.660204621,3.333333333,155.7043779,3.27340739,3.291666667
nov-15,3.5,84.18004642,4.17256708,3.295833333,153.3541616,3.941929184,3.304166667
dic-15,3.75,84.55525499,4.397928542,3.45,170.3420557,6.506665946,3.1
ene-16,4,84.8702404,4.608687843,3.444583333,143.1774824,3.541069186,3.266666667
feb-16,4.25,85.01799206,4.473757015,3.433333333,146.4104923,6.424364241,3.375
mar-16,4.25,85.52650006,4.301080513,3.35,153.7107496,3.549430096,3.625
abr-16,4.25,85.53625569,3.907213267,3.283333333,156.3411866,2.766496446,3.683333333
may-16,4.25,85.71550866,3.540617658,3.241666667,157.5322146,4.873541661,3.808333333
jun-16,4.25,85.83508911,3.341618721,3.1625,156.000011,3.578561925,3.8375
jul-16,4.25,85.90525676,2.96195894,3.014583333,158.7596249,3.580605894,4.033333333
ago-16,4.25,86.21304314,2.942530958,2.766666667,158.1079366,5.773747769,4.05
sep-16,4.25,86.39104212,3.126671112,2.6625,158.819721,4.508967598,4.1
oct-16,4.25,86.74814339,3.405287755,2.71,159.0998334,2.180706518,4.1375
nov-16,4.25,86.99976858,3.349632455,2.908333333,158.7493798,3.518142653,4.15
dic-16,4.25,87.29051767,3.23488195,2.9,176.2688404,3.47934319,4
ene-17,4.25,87.49813211,3.096364159,2.902083333,150.3594362,5.016119685,3.816666667
feb-17,4.25,87.78090102,3.249793246,2.908333333,147.563236,0.78733679,3.566666667
mar-17,4.25,88.92605395,3.974854451,2.9875,155.4994632,1.163688078,3.31875
abr-17,4.25,88.69657718,3.694715721,3.066666667,156.8290737,0.312065619,2.933333333
may-17,4,88.32109087,3.039802536,2.954583333,163.2953263,3.658370271,3.02875
jun-17,4,88.18048478,2.732443918,2.8875,162.1933441,3.970085036,3.075
jul-17,3.75,88.35533418,2.852069266,2.785416667,162.3002559,2.230183503,3.0625
ago-17,3.75,88.94928138,3.17381007,2.733333333,162.6305639,2.860468233,3.283333333
sep-17,3.5,88.9352541,2.944995136,2.80625,164.145161,3.353135208,3.34375
oct-17,3.5,88.51792968,2.040143123,2.6625,164.8430775,3.609836624,3.545833333
nov-17,3.25,88.34333927,1.544338232,2.475,161.9756633,2.0323125,3.8
dic-17,3.25,88.48190744,1.364855884,2.3,178.7702805,1.419105124,3.65
ene-18,3,88.59464852,1.253188369,2.225,154.6787158,2.872636205,3.579166667
feb-18,3,88.81633051,1.179561248,2.1875,151.5690757,2.714659737,3.541666667
mar-18,2.75,89.24897649,0.363136029,2.18125,161.5357991,3.881901398,3.53125
abr-18,2.75,89.12664017,0.484869886,2.166666667,169.508257,8.084714796,3.475
may-18,2.75,89.14308865,0.930692513,2.216666667,174.2486289,6.707664517,3.654166667
jun-18,2.75,89.44087846,1.429334034,2.275,165.5541858,2.07212063,3.7875
jul-18,2.75,89.78324561,1.616100987,2.328958333,166.5318569,2.607266973,3.889583333
ago-18,2.75,89.90155053,1.070575427,2.391666667,166.4039823,2.320239367,3.966666667
sep-18,2.75,90.07387527,1.280281009,2.4375,168.0683491,2.390072364,3.95
oct-18,2.75,90.14745079,1.840893844,2.438333333,171.5750257,4.083852519,3.883333333
nov-18,2.75,90.25782553,2.167097464,2.475,170.1701344,5.059075499,3.891666667
dic-18,2.75,90.42189374,2.192523154,2.5,187.186336,4.707748686,3.85
ene-19,2.75,90.48096844,2.129157851,2.477083333,157.2785528,1.68079816,3.860416667
feb-19,2.75,90.59566343,2.003384855,2.4,154.7221193,2.080268408,3.916666667
mar-19,2.75,91.25479423,2.247440598,2.33,167.0020225,3.383908386,3.8875
abr-19,2.75,91.43737731,2.592644729,2.38,169.4989885,-0.005467864,3.85
may-19,2.75,91.57235152,2.725127546,2.470833333,175.4471402,0.687816757,3.683333333
jun-19,2.75,91.49335034,2.29478054,2.475,170.2181312,2.817171515,3.4375
jul-19,2.75,91.6793899,2.11191328,2.322916667,173.0756505,3.929454583,3.30625
ago-19,2.5,91.73529349,2.039723394,2.3,172.5858878,3.714998531,3.066666667
sep-19,2.5,91.74114895,1.851006937,2.2125,172.3237895,2.531970102,2.9125
oct-19,2.5,91.84272974,1.880562264,2.229166667,176.2233604,2.709214066,2.916666667
nov-19,2.25,91.94275587,1.866796949,2.183333333,174.1072588,2.313640067,2.958333333
dic-19,2.25,92.13999253,1.900091579,2.225,189.5160472,1.244594676,3.0995
ene-20,2.25,92.18957128,1.888356052,2.045833333,162.4816971,3.308235084,3.047916667
feb-20,2.25,92.32063907,1.904037761,2.025,161.8184469,4.586498456,2.9
mar-20,1.25,92.91703039,1.821532969,2.01875,137.6105913,-17.59944628,0.4875
abr-20,0.25,93.01420551,1.724489757,1.508333333,102.9342093,-39.27149053,-1.5
may-20,0.25,93.20409734,1.781919752,1.520833333,118.0371025,-32.72212795,-3.052083333
jun-20,0.25,92.95608416,1.598732392,1.4,139.4094235,-18.09954527,-2.475
jul-20,0.25,93.38618118,1.861695724,1.458333333,154.0082555,-11.01679815,-1.229166667
ago-20,0.25,93.28323322,1.687398242,1.566666667,156.767808,-9.16533791,1
sep-20,0.25,93.41042861,1.819553907,1.49375,162.2085398,-5.869909032,2.8125
oct-20,0.25,93.42609873,1.724000361,1.616666667,170.4773504,-3.260640348,5.329166667
nov-20,0.25,93.91236249,2.142209694,1.683333333,170.4202942,-2.117639793,7.21875
dic-20,0.25,93.95812856,1.973232229,1.8475,191.4415551,1.016013125,9.25
ene-21,0.25,94.6561451,2.675545384,1.977083333,160.8304651,-1.016257231,8.583333333
feb-21,0.25,94.53757355,2.401342212,2.108333333,155.5950374,-3.845920918,8.058333333
mar-21,0.25,95.33118695,2.598185233,2.171875,164.8999268,19.83083949,7.81875
abr-21,0.25,95.23138301,2.383697724,2.3,164.5291415,59.83912701,7.216666667
may-21,0.25,95.48522943,2.447459026,2.427083333,175.3396755,48.54623829,6.75
jun-21,0.25,95.98143908,3.254606671,2.6,171.9836052,23.36583922,6.2375
jul-21,0.25,96.94848957,3.814599065,3.025,174.3981134,13.23945773,5.4375
ago-21,0.5,97.90336948,4.952804596,3.073333333,175.4704324,11.93014351,5.183333333
sep-21,1,98.29539662,5.229574554,3.6375,178.3603584,9.957440368,4.5
oct-21,1.5,98.86911251,5.826009926,3.613333333,178.5094239,4.711519427,3.779166667
nov-21,2,99.22324544,5.655147847,3.7125,176.7024812,3.686290414,3.43125
dic-21,2.5,100,6.430387163,3.675,195.2424827,1.985424523,2.55
ene-22,3,100.037268,5.684916594,3.727083333,165.7234055,3.042296996,2.760416667
feb-22,3.5,100.34884,6.147044222,3.75,163.0931619,4.81899975,2.65
mar-22,4,101.836672,6.824089007,4.3875,171.3044936,3.883911266,2.7375
abr-22,4.5,102.816232,7.964652773,4.616666667,171.1744766,4.039001862,2.616666667
may-22,5,103.211072,8.091138932,4.885416667,179.7893697,2.537756572,2.610416667
jun-22,5.5,104.439931,8.812632944,5.35,178.3804795,3.71946749,2.6
jul-22,6,105.422597,8.740834915,5.15625,177.8665864,1.988824848,2.53125
ago-22,6.5,106.125283,8.397988303,5.1,178.9835023,2.002086526,2.5
sep-22,6.75,106.679849,8.529852536,4.89375,182.2052373,2.155680186,2.56875
oct-22,7,107.050724,8.275194627,4.78125,183.1604007,2.605451699,2.354166667
nov-22,7.25,107.604861,8.447229802,4.683333333,180.5981849,2.204668389,2.329166667
dic-22,7.5,108.459162,8.459162,4.3,197.7873692,1.303449149,2.5
ene-23,7.75,108.704764,8.664267001,4.622916667,164.636832,-0.65565485,2.310416667
feb-23,7.75,109.024924,8.64592356,4.291666667,162.2285863,-0.530111493,2.191666667
mar-23,7.75,110.391537,8.400574009,4.3,172.5824698,0.746026065,2.125
abr-23,7.75,111.005592,7.965045831,4.25,172.2540405,0.630680407,2.116666667
may-23,7.75,111.358436,7.893885648,4.2125,177.5651984,-1.237098301,2.18125
jun-23,7.75,111.188314,6.461496992,3.825,177.0780366,-0.730148774,2.15
